Service/Resource,Type,URL,Status (fill in after opening),Notes
Able Minds - EduConnect,service,https://www.able.org.nz/educonnect,TO TEST,
Presbyterian Support Buddy Programme,service,https://psotago.org.nz/services/families/buddy-programme/,TO TEST,
Seasons for Growth,service,https://www.seasonsforgrowth.org.uk/,TO TEST,
ICAMHS,service,https://healthpoint.co.nz/public/psychiatry/child-and-youth-mental-health-services-southern/,TO TEST,
Central Lakes Family Services - Child & Youth Services,service,https://www.clfs.co.nz/child-youth-services/tamariki-5-12-years/,TO TEST,
Able Minds,service,https://www.able.org.nz/rangatahi-and-wellbeing-raw,TO TEST,
Kahu Youth Trust,service,https://www.kahuyouth.org,TO TEST,
ADL / Thrive,service,https://www.thriveservices.org.nz/,TO TEST,
Mint Charitable Trust,service,https://www.minttrust.nz/about,TO TEST,
Te Whatu Ora Community Mental Health Services,service,https://healthpoint.co.nz/public/psychiatry/adult-community-mental-health-services-southern/,TO TEST,CHECK: same link used by different services - Te Whatu Ora Community Mental Health Services / Te Whatu Ora Southern Central Lakes Community Mental Health Service
Anglican Family Care,service,https://AnglicanFamilyCare.org.nz,TO TEST,
Central Lakes Family Services - Mental Health Services,service,https://www.clfs.co.nz/mental-health/mental-health/,TO TEST,
Family Works,service,https://psotago.org.nz/contact/family-works/,TO TEST,
Strengthening Families,service,https://www.strengtheningfamilies.govt.nz/,TO TEST,
Precious Beginnings,service,https://www.preciousbeginnings.org.nz/,TO TEST,
Explore Hāpainga Ora,service,https://explorewellbeing.org.nz/,TO TEST,
Dyslexia Support South,service,https://www.dyslexiasupportsouth.org.nz/,TO TEST,
Narcotics Anonymous,service,https://wanakaapp.nz/Info/narcotics-anonymous/6887f57ea1b5ba002e0321d0,TO TEST,
Community Link Wanaka,service,https://www.communitylink.nz/,TO TEST,
ArtSenta,service,https://www.artsenta.org,TO TEST,
ICAMHS,service,https://healthpoint.co.nz/public/psychiatry/child-and-youth-mental-health-services-southern/,TO TEST,
Central Lakes Family Services,service,https://www.clfs.co.nz/,TO TEST,
Pivotal Point,service,https://pivotalpoint.org.nz/,TO TEST,
Leap into Literacy,service,https://www.leapintoliteracy.com/,TO TEST,
Awhi Atu Counsellors in Schools,service,https://www.coreap.org.nz/schools,TO TEST,CHECK: same link used by different services - Awhi Atu Counsellors in Schools / Seasons for Growth
Seasons for Growth,service,https://www.seasonsforgrowth.org.uk/,TO TEST,
Te Whatu Ora EPS,service,https://healthpoint.co.nz/public/psychiatry/mental-health-emergency-services-southern/,TO TEST,
Te Whatu Ora Specialist Addiction Service (SAS),service,https://healthpoint.co.nz/public/psychiatry/alcohol-and-drug-services-southern,TO TEST,
Whakatipu Youth Trust,service,https://whakatipuyouthtrust.org.nz/,TO TEST,
Happiness House,service,https://happinesshouse.org.nz/,TO TEST,
Central Otago REAP,service,https://www.coreap.org.nz/,TO TEST,
Able Minds,service,https://www.able.org.nz/,TO TEST,
Mana Tahuna,service,https://www.manatahuna.co.nz/,TO TEST,
Dyslexia Support South,service,https://www.dyslexiasupportsouth.org.nz/,TO TEST,
Lives in the Balance,service,https://livesinthebalance.org/,TO TEST,
Strengthening Families,service,https://www.strengtheningfamilies.govt.nz/,TO TEST,
Work and Income,service,https://www.workandincome.govt.nz,TO TEST,
Uruuruwhenua Hauora,service,https://www.uruuruwhenuahealth.co.nz,TO TEST,
Awhi Atu Counsellors in Schools,service,https://www.coreap.org.nz/schools,TO TEST,CHECK: same link used by different services - Awhi Atu Counsellors in Schools / Seasons for Growth
Seasons for Growth,service,https://www.seasonsforgrowth.org.uk/,TO TEST,
Youth Sexual Health Clinic,service,,NO LINK,
Oranga Tamariki,service,https://www.orangatamariki.govt.nz/,TO TEST,
Central Otago REAP,service,https://www.coreap.org.nz/,TO TEST,
Catholic Social Services,service,https://www.cathsocialservices.org.nz,TO TEST,
Strengthening Families,service,https://www.strengtheningfamilies.govt.nz,TO TEST,
Able Minds,service,https://www.able.org.nz,TO TEST,
PACT,service,https://pactgroup.co.nz/,TO TEST,
Dyslexia Support South,service,https://www.dyslexiasupportsouth.org.nz/,TO TEST,
Cromwell Primary School,service,https://cromprimary.school.nz/,TO TEST,
Goldfields Primary School,service,https://goldfieldsschool.wordpress.com/,TO TEST,
Junction Health,service,https://www.junctionhealth.co.nz/,TO TEST,
Cromwell Family Practice,service,https://www.cromwellfamilypractice.co.nz/,TO TEST,
Family Works,service,https://psotago.org.nz/contact/family-works/,TO TEST,
Stand Tū Māia,service,https://standtumaia.nz/,TO TEST,
Awhi Atu Counsellors in Schools,service,https://www.coreap.org.nz/schools,TO TEST,CHECK: same link used by different services - Awhi Atu Counsellors in Schools / Seasons for Growth
Seasons for Growth,service,https://www.coreap.org.nz/schools,TO TEST,CHECK: same link used by different services - Awhi Atu Counsellors in Schools / Seasons for Growth
Te Whatu Ora Southern Central Lakes Community Mental Health Service,service,https://healthpoint.co.nz/public/psychiatry/adult-community-mental-health-services-southern/,TO TEST,CHECK: same link used by different services - Te Whatu Ora Community Mental Health Services / Te Whatu Ora Southern Central Lakes Community Mental Health Service
Central Lakes Family Services,service,https://www.clfs.co.nz/,TO TEST,
Lemon Tree (bedwetting),service,https://www.bedwetting.co.nz/,TO TEST,
Uruuruwhenua Hauora,service,https://www.uruuruwhenuahealth.co.nz/,TO TEST,
Puna Rangatahi - Central Youth Development,service,https://cydt.nz/,TO TEST,
Central Otago REAP,service,https://www.coreap.org.nz/,TO TEST,
Able Minds,service,https://www.able.org.nz,TO TEST,
PACT,service,https://pactgroup.co.nz/,TO TEST,
Youth Sexual Health Clinic,service,,NO LINK,
Salvation Army,service,https://www.salvationarmy.org.nz/corps/alexandra-corps/,TO TEST,
Catholic Social Services,service,https://www.cathsocialservices.org.nz,TO TEST,
Anglican Family Care,service,https://www.anglicanfamilycare.org.nz/region/central-otago-services,TO TEST,
Your Way - Kia Roha,service,https://www.yourwaykiaroha.nz/,TO TEST,
Parent to Parent,service,https://parent2parent.org.nz/,TO TEST,
Central Otago Budgeting Advice,service,https://ach.org.nz/,TO TEST,
After a Suicide,service,https://www.afterasuicide.nz/,TO TEST,
Upcycles,service,,NO LINK,
Flow Space Wellness,service,https://flowspaceyoga.com,TO TEST,
CCS Disability Action,service,https://www.ccsdisabilityaction.org.nz,TO TEST,
Male Survivors Otago,service,https://www.tautokotane-southern.nz/,TO TEST,
Te Whatu Ora - advisory,service,https://www.healthnz.govt.nz/about-us/what-we-do/programmes-and-initiatives/mental-health-programmes/mental-health-advisory-and-advocacy-services,TO TEST,
Alexandra Community House,service,https://ach.org.nz,TO TEST,
Mayors Taskforce for Jobs,service,https://www.codc.govt.nz/services/economic-development/mayors-taskforce-for-jobs,TO TEST,
Brain Injury Association,service,https://www.braininjuryotagocanterbury.org.nz/,TO TEST,
Central Otago RDA (Riding for the Disabled),service,https://rda.org.nz/about-us/rda-groups/central-otago-alexandra,TO TEST,
Comcol,service,https://www.comcol.ac.nz/youth-service-ratonga-taiohi.html,TO TEST,
ADHD NZ,service,https://www.adhd.org.nz/,TO TEST,
Journeys,service,https://www.journeys.org.nz/,TO TEST,
The Terrace School,service,https://www.theterrace.school.nz,TO TEST,
Alexandra Primary School,service,https://www.alexprim.school.nz,TO TEST,
St Gerards School,service,https://www.stgerards.school.nz,TO TEST,
Clyde Primary School,service,https://www.clyde.school.nz,TO TEST,
Te Kura,service,https://www.tekura.school.nz,TO TEST,
Dunstan High School,service,https://www.dunstan.school.nz,TO TEST,
Alexandra Family Medical,service,https://www.alexfamilymed.co.nz,TO TEST,
Health Central,service,https://www.healthcentral.com,TO TEST,
Central Otago Psychology,service,https://centralotagopsychology.co.nz/,TO TEST,
Counsellors and Therapists Directory,service,https://www.psychologytoday.com/nz/counselling/ot/alexandra,TO TEST,
JR McKenzie Youth Education Fund,service,https://www.youtheducationfund.org.nz/,TO TEST,
Central Otago Resilience Trust,service,https://www.cortrust.co.nz/,TO TEST,
Allright,resource,https://www.allright.org.nz/,TO TEST,
The Lowdown,resource,https://www.thelowdown.co.nz/,TO TEST,
Anxiety NZ,resource,https://www.anxiety.org.nz/,TO TEST,
Depression.org.nz,resource,https://www.depression.org.nz/,TO TEST,
OUTLine NZ,resource,https://www.outline.org.nz/,TO TEST,
Are You OK,resource,https://www.areyouok.org.nz/,TO TEST,
Alcohol Drug Helpline,resource,https://www.alcoholdrughelp.org.nz/,TO TEST,
Central Otago Resilience Trust,resource,https://www.cortrust.co.nz/,TO TEST,
Upper Clutha Children's Medical Trust,resource,https://www.uccmedtrust.co.nz/,TO TEST,
Food for Love,resource,https://foodforlovewanaka.com/,TO TEST,
Baskets of Blessing,resource,https://www.basketsofblessing.co.nz/meals/,TO TEST,
GBB,resource,https://gbb.org.nz/,TO TEST,
Aoake te Rā,resource,https://www.aoaketera.org.nz/,TO TEST,
Te Rau Ora,resource,https://terauora.com/,TO TEST,
Central Otago REAP,resource,https://www.coreap.org.nz/,TO TEST,
